OPERADOR,DEPARTAMENTO,MUNICIPIO,NOMBRE ZONA WIFI,ID ZONA WIFI,DIRECCION,LONGITUD ,LATITUD,FECHA ACTIVACIÓN
ERT,Antioquia,San Pedro,Sector la Bomba - Terminal de Transporte,566408001,Carrea 50 No. 45 - 10 con la Carrera 49 No. 44D - 23/31,-75557506,6459303,05/19/2018 12:00:00 AM
UNE,Antioquia,San Pedro de Uraba,PARQUE PRINCIPAL,566506001,PARQUE DE SAN PEDRO DE URABA,-76382853,8278083,06/02/2017 12:00:00 AM
UNE,Antioquia,San Rafael,PARQUE PRINCIPAL,566706001,CL 30 #30-2,-75028194,6295388,06/02/2017 12:00:00 AM
UNE,Antioquia,San Roque,PARQUE PRINCIPAL,567006001,CARRERA 20 CON CALLE 19,-75019458,6485022,06/02/2017 12:00:00 AM
UNE,Antioquia,San Vicente,PARQUE PRINCIPAL,567406001,PARQUE PRINCIPAL SAN VICENTE,-7533177,6282657,06/02/2017 12:00:00 AM
UNE,Antioquia,Santa Bárbara,PARQUE PRINCIPAL,567906001,CALLE 50 CON CARRERA 50,-75567775,5874055,06/02/2017 12:00:00 AM
UNE,Antioquia,Santa Rosa de Osos,PARQUE PRINCIPAL,568606001,CL. 30A #29-50,-75460983,6648783,06/02/2017 12:00:00 AM
UNE,Antioquia,Santafé de Antioquia,PARQUE PRINCIPAL,504206001,CALLE 9 CON CARRERA 9,-758275,6555833,06/02/2017 12:00:00 AM
UNE,Antioquia,Santo Domingo,PARQUE PRINCIPAL,569006001,CRA 16 CON CALLE 12 (PARQUE PRINCIPAL SANTO DOMINGO),-7516448,6471308,06/02/2017 12:00:00 AM
UNE,Antioquia,Segovia,PARQUE PRINCIPAL,573606001,CRA. 51 #50 (PARQUE PRINCIPAL SEGOVIA),-74701627,7081592,06/02/2017 12:00:00 AM
UNE,Antioquia,Sonson,PARQUE PRINCIPAL,575606001,CARRERA 8 CON CALLE 7,-75310244,5709044,06/02/2017 12:00:00 AM
UNE,Antioquia,Sopetrán,PARQUE PRINCIPAL,576106001,CALLE 10 CON CARRERA #9,-75742319,6500951,06/02/2017 12:00:00 AM
UNE,Antioquia,Támesis,PARQUE PRINCIPAL,578906001,CARRERA 10 # 10 (PARQUE PRINCIPAL,-75712616,5662761,06/02/2017 12:00:00 AM
UNE,Antioquia,Tarazá,PARQUE PRINCIPAL,579006001,CRA. 34 #43-1,-75400046,7586318,06/02/2017 12:00:00 AM
UNE,Antioquia,Tarso,PARQUE PRINCIPAL,579206001,CRA 20 CON CALLE 20 (PARQUE PRINCIPAL),-75822083,5865377,06/02/2017 12:00:00 AM
UNE,Antioquia,Titiribí,PARQUE PRINCIPAL,580906001,CRA. 20 #21-1,-75793677,606343,06/02/2017 12:00:00 AM
UNE,Antioquia,Toledo,PARQUE PRINCIPAL,581906001,CALLE 11 CON CARRERA 10,-75691667,7010966,06/02/2017 12:00:00 AM
UNE,Antioquia,Turbo,PARQUE PRINCIPAL,583706001,CR 16 CON CALLE 102,-76725282,8093781,06/02/2017 12:00:00 AM
ERT,Antioquia,Turbo,Parque Gonzalo Mejia (PISISI),583708001,Calle 100 con Carrera 13,-76728527,8091337,05/19/2018 12:00:00 AM
UNE,Antioquia,Uramita,PARQUE PRINCIPAL,584206001,VÍA PRINCIPAL PEQUE-URAMITA,-76174581,6899781,06/02/2017 12:00:00 AM
UNE,Antioquia,Urrao,PARQUE PRINCIPAL,584706001,CLL 31 CON 30,-76134224,6316984,06/02/2017 12:00:00 AM
UNE,Antioquia,Valdivia,PARQUE PRINCIPAL,585406001,PARQUE PRINCIPAL VALDIVIA,-75438686,7165039,06/02/2017 12:00:00 AM
UNE,Antioquia,Valparaíso,PARQUE PRINCIPAL,585606001,CARRERA 10 CON CALLE 11,-75624516,5616144,06/02/2017 12:00:00 AM
UNE,Antioquia,Vegachí,PARQUE PRINCIPAL,585806001,CRA. 49A CON CALLE 50 (PARQUE PRINCIPAL,-74798598,6771538,06/02/2017 12:00:00 AM
UNE,Antioquia,Venecia,PARQUE PRINCIPAL,586106001,CL. 51 #51-1 A 51-11 (PARQUE PRINCIPAL),-75733994,5963494,06/02/2017 12:00:00 AM
UNE,Antioquia,Vigía del Fuerte,PARQUE PRINCIPAL,587306001,CRA 3#14-50,-76896616,6587436,06/02/2017 12:00:00 AM
UNE,Antioquia,Yalí,PARQUE PRINCIPAL,588506001,PARQUE PRINCIPAL YALÍ,-74842258,6675005,06/02/2017 12:00:00 AM
UNE,Antioquia,Yarumal,PARQUE PRINCIPAL,588706001,CRA. 20 #19-18,-7541725,6962936,06/02/2017 12:00:00 AM
UNE,Antioquia,Yolombó,PARQUE PRINCIPAL,589006001,PARQUE PRINCIPAL YOLOMBO,-75011752,6599238,06/02/2017 12:00:00 AM
UNE,Antioquia,Yondó,PARQUE PRINCIPAL,589306001,CALLE 49 CON CARRERA 54,-73910008,7006966,06/02/2017 12:00:00 AM
UNE,Antioquia,Zaragoza,PARQUE PRINCIPAL,589506001,CARRERA 20 CON CALLE 20,-74867986,7492375,06/02/2017 12:00:00 AM
ETB,Arauca,Arauca,PARQUE GENERAL SANTANDER AVENIDA OLAYA HERRERA ENTRE CALLE 20 Y 30,8100101000,PARQUE GENERAL SANTANDER AVENIDA OLAYA HERRERA ENTRE CALLE 20 Y 30,-70757027,7093833,06/16/2017 12:00:00 AM
ERT,Arauca,Arauca,"PARQUE DEL BARRIO PORVENIR ""CASA COMUNAL BARRIO PORVENIR"" ",8100102001,CALLES 20 Y 19A CON CARRERAS 38 Y 38B ,-70771972,7078891,06/16/2017 12:00:00 AM
ERT,Arauca,Arauca,PARQUE DEL ARPA ,8100102002,CARRERA 11 CON CALLE 1,-70748572,7070672,06/16/2017 12:00:00 AM
ERT,Arauca,Arauca,POLIDEPORTIVO UNIÓN ,8100102003,ENTRE CALLES 24 Y 25 Y CARRERAS 13 Y 14,-7075175,7089222,06/16/2017 12:00:00 AM
EMTEL,Arauca,Arauca,TERMINAL TRANSPORTE ,8100109001,Km 1 Vía Caño Limón, Arauca,-71726944,6463056,05/08/2018 12:00:00 AM
EMTEL,Arauca,Arauquita,Zona Centro,8106509001,Calle 5 con Carrera 5 esquina,-71429874,7028975,05/08/2018 12:00:00 AM
EMTEL,Arauca,Arauquita,CENTRO CONVIVENCIA CIUDADANA,8106509002,Calle 4 No.7-36,-71428333,703101,05/08/2018 12:00:00 AM
